PlayerName,Oponent,Tournament,GroundNumerico,Prize,TournamentYear,NumeroSets,DiffIMC,DiffAge,DiffRank,QTDBelgas,Finals,SumMainHand,SumTrainer,TipoTorneio
Marvin Netuschil,Jonas Merckx,Belgium F12,1,15000,2017,2,-2.1732383270743796,2,884.0,1,1,2,2,Melhor_de_3
Marvin Netuschil,Jonas Merckx,Belgium F3,1,10000,2012,2,-2.1732383270743796,2,884.0,1,0,2,2,Melhor_de_3
Marvin Netuschil,Jonas Merckx,Belgium F14,1,10000,2014,2,-2.1732383270743796,2,884.0,1,0,2,2,Melhor_de_3
Marvin Netuschil,Jonas Merckx,Belgium F15,1,15000,2014,2,-2.1732383270743796,2,884.0,1,0,2,2,Melhor_de_3
Marvin Netuschil,Jonas Merckx,Belgium F13,1,25000,2016,2,-2.1732383270743796,2,884.0,1,1,2,2,Melhor_de_3
Kimmer Coppejans,Jonas Merckx,Belgium F3,1,10000,2013,2,-5.074024986707226,-1,-265.0,2,0,2,2,Melhor_de_3
Antoine Hoang,Jonas Merckx,Belgium F9,1,10000,2014,2,-3.367660376105402,-2,-99.0,1,0,2,2,Melhor_de_3
Antoine Hoang,Jonas Merckx,Belgium F12,1,10000,2015,3,-3.367660376105402,-2,-99.0,1,0,2,2,Melhor_de_3
Juan Pablo Ficovich,Jonas Merckx,Belgium F14,1,10000,2016,3,-4.6806864621040205,-4,-222.0,1,0,2,2,Melhor_de_3
Steve Darcis,Jonas Merckx,Belgium F1,1,10000,2014,2,-0.5922915525928367,9,-405.0,2,0,2,2,Melhor_de_3
Steve Darcis,Jonas Merckx,Belgium F10,1,10000,2014,2,-0.5922915525928367,9,-405.0,2,0,2,2,Melhor_de_3
Maxime Pauwels,Jonas Merckx,Belgium F1,1,10000,2016,3,-4.456741036089941,-5,159.0,1,0,2,1,Melhor_de_3
Paul Woerner,Jonas Merckx,Belgium F7,1,15000,2017,2,-3.271321382201819,-3,550.0,1,1,2,1,Melhor_de_3
Mats Moraing,Jonas Merckx,Belgium F4,1,10000,2014,3,-4.635294244946177,1,30.0,1,0,1,2,Melhor_de_3
Mats Moraing,Jonas Merckx,Belgium F8,1,10000,2016,3,-4.635294244946177,1,30.0,1,1,1,2,Melhor_de_3
Zizou Bergs,Jonas Merckx,Belgium F5,1,15000,2018,2,-0.9338487744589408,-6,-311.0,2,1,2,2,Melhor_de_3
Juan Bautista Otegui,Jonas Merckx,Belgium F9,1,15000,2018,2,-3.3101099976430675,-6,-41.0,1,0,2,1,Melhor_de_3
Louis Wessels,Jonas Merckx,Belgium F11,1,15000,2017,2,-3.104838169035556,-5,-158.0,1,1,2,2,Melhor_de_3
Jeroen Vanneste,Jonas Merckx,Belgium F4,1,10000,2016,3,-4.263476912878673,-1,1279.0,1,0,2,1,Melhor_de_3
Sandro Ehrat,Jonas Merckx,Belgium F3,1,10000,2015,3,-1.9876052336208048,2,-157.0,1,0,2,1,Melhor_de_3
Joris De Loore,Jonas Merckx,Belgium F1,1,10000,2012,3,-2.487764118966499,0,-245.0,2,0,2,2,Melhor_de_3
Sadio Doumbia,Jonas Merckx,Mons,2,117885,2016,2,-2.1732383270743796,3,2057.0,1,0,2,2,Melhor_de_3
Jules Okala,Jonas Merckx,Belgium F6,1,10000,2016,3,-0.8261025136869833,-4,-105.0,1,0,2,2,Melhor_de_3
Oriol Roca Batalla,Jonas Merckx,Belgium F13,1,15000,2015,3,-1.0023722810651883,0,-152.0,1,0,2,2,Melhor_de_3
Yannick Vandenbulcke,Jonas Merckx,Belgium F8,1,15000,2017,2,-3.2422747599217807,3,-66.0,2,1,2,2,Melhor_de_3
Yannick Vandenbulcke,Jonas Merckx,Belgium F3,1,15000,2017,3,-3.2422747599217807,3,-66.0,2,1,2,2,Melhor_de_3
Daniel Altmaier,Jonas Merckx,Belgium F9,1,10000,2016,3,-3.427002983566311,-5,-351.0,1,0,2,2,Melhor_de_3
Oscar Otte,Jonas Merckx,Belgium F2,1,15000,2014,2,-4.853056257411648,0,-345.0,1,0,2,2,Melhor_de_3
Henri Laaksonen,Jonas Merckx,Mons,2,141445,2013,2,-3.271321382201819,1,-225.0,1,0,2,1,Melhor_de_3
Tallon Griekspoor,Jonas Merckx,Belgium F10,1,10000,2016,2,-2.012335713308275,-3,-407.0,1,1,2,2,Melhor_de_3
Casper Ruud,Jonas Merckx,Belgium F7,1,10000,2016,2,-3.069054863847647,-5,-439.0,1,0,2,2,Melhor_de_3
Samuel Brosset,Jonas Merckx,Belgium F4,1,15000,2018,2,-3.271321382201819,-5,880.0,1,1,1,1,Melhor_de_3
Yann Marti,Jonas Merckx,Belgium F1,1,15000,2018,3,-0.11012221426926772,5,-243.0,1,1,2,2,Melhor_de_3
Romain Bogaerts,Alexandre Sidorenko,Belgium F7,1,10000,2013,3,-1.8717835695066398,-5,947.0,0,0,1,2,Melhor_de_3
Sander Gille,Alexandre Sidorenko,Belgium F9,1,10000,2013,2,-1.4609203798393011,-3,-103.0,1,0,2,2,Melhor_de_3
Julien Cagnina,Alexandre Sidorenko,Belgium F8,1,10000,2013,2,-1.875129194870329,-6,94.0,0,0,2,1,Melhor_de_3
Goncalo Oliveira,Alexandre Sidorenko,Belgium F13,1,15000,2015,2,-0.2921840759678602,-7,186.0,0,0,1,2,Melhor_de_3
Constant Lestienne,Alexandre Sidorenko,Belgium F9,1,10000,2014,2,0.39070602133665133,-4,-83.0,0,1,2,1,Melhor_de_3
Yannick Mertens,Alexandre Sidorenko,Mons,2,156635,2008,2,-2.6296566837107385,1,926.0,1,0,2,2,Melhor_de_3
Peter Torebko,Alexandre Sidorenko,Belgium F6,1,10000,2011,2,1.1687363038714373,0,37.0,0,1,2,1,Melhor_de_3
Yannik Reuter,Alexandre Sidorenko,Belgium F6,1,10000,2012,2,-0.5843681519357204,-3,312.0,1,1,2,1,Melhor_de_3
Romain Bogaerts,Jeroen Vanneste,Belgium F2,1,15000,2014,2,-0.29525988689406546,1,-630.0,0,0,1,1,Melhor_de_3
Juan-Sebastian Vivanco,Jeroen Vanneste,Belgium F6,1,10000,2013,2,0.9921555306768539,4,-1115.0,0,0,2,0,Melhor_de_3
